Filename,Stability
TeSADH_W110A_3.pdb,-7281.90
KRED_36_1.pdb,-6366.59
KRED_36_2.pdb,-6457.04
TeSADH_W110A_4.pdb,-7161.31
KRED_36_0.pdb,-6354.02
TeSADH_W110A_0.pdb,-7273.83
KRED_36_4.pdb,-6398.90
KRED_36_3.pdb,-6467.83
TeSADH_W110A_1.pdb,-7201.91
TeSADH_W110A_2.pdb,-7337.30

